PiratesID,PlayerName,OrgCode,PrefPos,SplitTypeCode,RAA,RAA_635,AdjProd,ERA,IP,,
8DE58CDB-E566-4AA7-AC14-D2EBECA328D9,"Bido, Wilfrido",NYY,RHS,EPSvsR,-0.1048,-104.5612381,0,12.46155,0.11469,,
8DE58CDB-E566-4AA7-AC14-D2EBECA328D9,"Bido, Wilfrido",NYY,RHS,EPSvsL,-0.06397,-111.7341494,0,15.42859,0.06176,,
8DE58CDB-E566-4AA7-AC14-D2EBECA328D9,"Bido, Wilfrido",NYY,RHS,EPS,-0.16877,-107.16895,0,13.49999,0.17644,,
B6892AE4-D08C-411A-B9F1-0652A1A686B1,"Rodriguez, Neftali",NULL,RHS,EPSvsR,-0.11795,-88.54581673,0,0,0,,
B6892AE4-D08C-411A-B9F1-0652A1A686B1,"Rodriguez, Neftali",NULL,RHS,EPSvsL,-0.09149,-79.62521587,0,0,0,,
B6892AE4-D08C-411A-B9F1-0652A1A686B1,"Rodriguez, Neftali",NULL,RHS,EPS,-0.20944,-84.41462656,0,0,0.33333,,
46649E4C-ADD9-4331-BA88-065BBFD0BEBF,"Rivero, Enyerber ",NULL,RHS,EPSvsR,-0.12867,-131.1547105,0,16.39286,0.10134,,
46649E4C-ADD9-4331-BA88-065BBFD0BEBF,"Rivero, Enyerber ",NULL,RHS,EPSvsL,-0.07143,-120.3035567,0,15.88234,0.06153,,
46649E4C-ADD9-4331-BA88-065BBFD0BEBF,"Rivero, Enyerber ",NULL,RHS,EPS,-0.20009,-127.05715,0,15.84783,0.16649,,
7D320244-B438-4EDE-82BA-067D64F8519E,"Showalter, Justin",BAL,RHS,EPSvsR,-0.04692,-53.05990882,0.28577,8.05263,0.11523,,
7D320244-B438-4EDE-82BA-067D64F8519E,"Showalter, Justin",BAL,RHS,EPS,-0.08591,-54.55285,0.26564,8.28713,0.20418,,
7D320244-B438-4EDE-82BA-067D64F8519E,"Showalter, Justin",BAL,RHS,EPSvsL,-0.03899,-56.46471903,0.23986,8.59091,0.08895,,
3EB1F28A-0C2E-451F-AC26-069EA52F29DA,"Travieso, Jesus ",BOS,RHS,EPS,-0.15136,-96.1136,0,12.05825,0.18241,,
3EB1F28A-0C2E-451F-AC26-069EA52F29DA,"Travieso, Jesus ",BOS,RHS,EPSvsR,-0.09175,-97.12150763,0,12.19355,0.1098,,
3EB1F28A-0C2E-451F-AC26-069EA52F29DA,"Travieso, Jesus ",BOS,RHS,EPSvsL,-0.05961,-94.60249425,0,11.85366,0.07261,,
4C863A60-99B4-492D-B3BF-0898EF5E0245,"Martin, Trevor",TB,RHS,EPSvsR,-0.10646,-43.63114754,0.41264,7.16667,0.33259,,
4C863A60-99B4-492D-B3BF-0898EF5E0245,"Martin, Trevor",TB,RHS,EPSvsL,-0.0951,-47.47411618,0.36091,7.41985,0.26894,,
4C863A60-99B4-492D-B3BF-0898EF5E0245,"Martin, Trevor",TB,RHS,EPS,-0.20156,-45.36373399,0.38932,7.2551,0.60358,,
2E92D46F-F97B-42D7-891F-2F254179D7FE,"Paulino, Deivy",NY,RHS,EPSvsR,-0.0797,-86.29659312,0,11.22078,0.10948,,
2E92D46F-F97B-42D7-891F-2F254179D7FE,"Paulino, Deivy",NY,RHS,EPSvsL,-0.05645,-86.68024859,0,11.5,0.07678,,
2E92D46F-F97B-42D7-891F-2F254179D7FE,"Paulino, Deivy",NY,RHS,EPS,-0.13615,-86.45525,0,11.12977,0.18626,,
B1527A8F-7E2A-4FC1-BDAA-3010ABDB4A6F,"Petty, Chase",CIN,RHS,EPSvsL,-7.14062,-29.33598539,0.60508,6.12,34.21395,,
B1527A8F-7E2A-4FC1-BDAA-3010ABDB4A6F,"Petty, Chase",CIN,RHS,EPSvsR,-6.52528,-25.14314328,0.66152,5.86956,36.72297,,
B1527A8F-7E2A-4FC1-BDAA-3010ABDB4A6F,"Petty, Chase",CIN,RHS,EPS,-13.66591,-27.1724023,0.6342,5.88462,71.16501,,
7B1F1CC1-D9ED-4884-9813-6276A551EAF7,"Rosario, Alejandro",TEX,RHS,EPSvsR,-0.17556,-20.78993107,0.72013,5.50319,1.21701,,
7B1F1CC1-D9ED-4884-9813-6276A551EAF7,"Rosario, Alejandro",TEX,RHS,EPSvsL,-0.19532,-26.46827091,0.64369,5.75735,1.05422,,
7B1F1CC1-D9ED-4884-9813-6276A551EAF7,"Rosario, Alejandro",TEX,RHS,EPS,-0.37087,-23.43737062,0.68448,5.64041,2.26348,,
1B52A454-EC8F-410E-B5F8-63BF87B40DBC,"Cota, Juan",MIN,RHS,EPSvsR,-0.1037,-107.9340753,0,13.5,0.10791,,
1B52A454-EC8F-410E-B5F8-63BF87B40DBC,"Cota, Juan",MIN,RHS,EPS,-0.16572,-105.2322,0,12.9375,0.17861,,
1B52A454-EC8F-410E-B5F8-63BF87B40DBC,"Cota, Juan",MIN,RHS,EPSvsL,-0.06202,-101.0045908,0,12.78947,0.0707,,
DD4E2A06-F48D-4128-83AD-63F4DEFC62A9,"Randall, Scott",PIT,RHS,EPSvsL,-0.04528,-52.1025641,0.29853,8,0.11445,,
DD4E2A06-F48D-4128-83AD-63F4DEFC62A9,"Randall, Scott",PIT,RHS,EPSvsR,-0.05793,-49.81454398,0.32942,7.76712,0.15472,,
DD4E2A06-F48D-4128-83AD-63F4DEFC62A9,"Randall, Scott",PIT,RHS,EPS,-0.10321,-50.79311013,0.31621,7.80469,0.27129,,
2B407358-898A-42E0-8F39-647F74ED74B4,"Kirby, George",SEA,RHS,EPSvsR,10.55714,17.74947957,1.23894,2.88889,94.95924,,
2B407358-898A-42E0-8F39-647F74ED74B4,"Kirby, George",SEA,RHS,EPSvsL,8.5866,16.17146509,1.2177,2.97248,85.18978,,
2B407358-898A-42E0-8F39-647F74ED74B4,"Kirby, George",SEA,RHS,EPS,19.14369,17.00515278,1.22892,2.92842,180.14902,,
11AB659D-C4D0-40C4-BD53-97783959CB83,"Peraza, Santiago",CLE,RHS,EPSvsR,-0.11662,-122.6135837,0,15.28302,0.10254,,
11AB659D-C4D0-40C4-BD53-97783959CB83,"Peraza, Santiago",CLE,RHS,EPSvsL,-0.07193,-115.3306484,0,14.65714,0.06772,,
