"PiratesID","PlayerName","split","C","1B","2B","3B","SS","LF","CF","RF","DH","Total"
"DB98F74F-7181-4115-9CF0-B1751346EABE","Zorrilla, John","vL",0,0,0,0,0,0,0,0,0,0
"DCD53311-6B0E-45FF-BDAA-C87AFB3FBAB5","De La Cruz, Bryan","vL",0,0,0,0,0,0.216,0.139,0.125,0.149,0.629
"E5AAB108-6DEA-4780-879F-5AD9CAA8F315","Pena, Jhonson","vL",0,0,0,0,0,0,0,0,0,0
"E965C63B-D3DF-4C77-AC42-86315D3322E7","Florentino, Edward","vL",0,0,0,0,0,0,0,0,0,0
"EABF4FAC-50A5-46FD-999A-73EFF8F865EB","Taylor, Will","vL",0,0,0,0,0,0,0,0,0,0
"EBB04960-B0F0-48D4-825A-3793435ABC4A","Allen, Iverson","vL",0,0,0,0,0,0,0,0,0,0
"ED5E2598-AC2E-4DE9-8CAC-F7E83584E907","Delay, Jason","vL",0,0,0,0,0,0,0,0,0,0
"F19053D6-0F22-4FC9-AD36-C7C90D075D4F","Sightler, Josiah","vL",0,0,0,0,0,0,0,0,0,0
"F60BA2BB-B7D6-4F68-8FFD-64C9CA954EC7","Cook, Billy","vL",0,0.316,0.043,0,0,0.002,0.322,0.25,0,0.933
"F78772F1-5A9B-4DF0-B515-B8403A7786B1","Machado, Juan","vL",0,0,0,0,0,0,0,0,0,0
"FC013411-B68B-43E8-8C6D-819CF55C2423","Head, Hudson","vL",0,0,0,0,0,0,0,0,0,0
"FD3DC6B8-92C4-46E2-9417-7A55E7C0FF83","McCutchen, Andrew","vL",0,0,0,0,0,0.148,0,0.175,0.275,0.598
"009D4835-E755-4184-8C6A-06928AF3AFF8","Williams, Alika","vR",0,0,0,0,0,0,0,0,0,0
"01CC6EA7-2C09-4EBF-BE4A-462C0D1D62FD","Brannigan, Jack","vR",0,0,0.002,0.062,0.003,0,0,0,0,0.067
"04D07E02-089E-4505-B5E9-3E03C166B02E","Matthiessen, Will","vR",0,0,0,0,0,0,0,0,0,0
"0914280F-4C00-4110-A916-D3FC933F1AAB","Polanco, Shalin","vR",0,0,0,0,0,0,0,0,0,0
"0C13480A-28B6-4E2D-8B66-DC14E735ED72","Ramirez, Richard","vR",0,0,0,0,0,0,0,0,0,0
"1E5CD79D-592A-4376-B635-05ADC8F97AC1","Miknis, Justin","vR",0,0,0,0,0,0,0,0,0,0
"23263617-9E78-4701-9539-5B30EF65A95A","Alvarez, Andres","vR",0,0,0,0,0,0,0,0,0,0
"2A312DE8-9259-485D-94D4-33E36EA57113","Maguire, Solomon","vR",0,0,0,0,0,0,0,0,0,0
"2ACA9DF3-EF28-4B57-B44F-3FD8F828E7BD","Ross, Shawn","vR",0.00111111111111111,0,0,0,0,0,0,0,0,0.00111111111111111
"2DAC7862-21DD-4926-8452-075757D9CCCB","Reynolds, Bryan","vR",0,0,0,0,0,0.213,0.094,0.238,0.405,0.95
"2FF1BF80-CCE9-40D1-8A1D-718BE4CDF482","Espinal, Ewry","vR",0,0,0,0,0,0,0,0,0,0
"30791EAF-80A7-4A41-B586-B1EA1766465F","Cimillo, Nick","vR",0,0,0,0,0,0,0,0,0,0
"318682BC-7E40-43DC-8752-3DE50A9AEF1A","Hayes, Ke'Bryan","vR",0,0,0,0.548,0,0,0,0,0,0.548
"35AAEF7F-5126-4672-8381-1C1A11987301","Gonzales, Nick","vR",0,0,0.193,0.112,0.087,0,0,0,0,0.392
"3A20E7D2-CAF6-4FCC-8009-3990CB11E5DD","Gorski, Matthew","vR",0,0.002,0,0,0,0,0.019,0,0,0.021
"3AC9A4ED-9A4E-41D0-9E5E-050D793EB145","Rodriguez, Endy","vR",0.679,0,0,0,0,0,0,0,0,0.679
"3C4A9F14-4799-4BBF-90DB-B81360703DDF","Bowen, Jase","vR",0,0,0,0,0,0,0,0,0,0
"3DF21F75-39B4-4305-9BE8-2E291B68238D","Pichardo, Kervin","vR",0,0,0,0,0,0,0,0,0,0
"40872636-BFC0-43BB-BC3E-762EF128DF1B","Siani, Sammy","vR",0,0,0,0,0,0,0,0,0,0
"43808884-3A60-4C58-91D9-733DECC19C5D","Nunez, Malcom","vR",0,0.039,0,0,0,0,0,0,0,0.039
"439B816A-C971-4D38-A8AD-6C304FB24322","Bae, Ji Hwan","vR",0,0,0.147,0,0.283,0.164,0.009,0.014,0,0.617
"441B8645-CC0E-4E50-BA37-647D47E7285C","Wilson, Eli","vR",0,0,0,0,0,0,0,0,0,0
"45BA15E2-1D09-41EF-91E5-B0441AAF2F22","Cabbage, Trey","vR",0,0.083,0,0,0,0.024,0,0,0,0.107
"47DEAFFD-4F56-446B-A802-798056590644","White, Lonnie","vR",0,0,0,0,0,0,0,0,0,0
"48B0CDA6-ABEA-40EC-8120-C7EE12CEB3E6","Cruz, Oneil","vR",0,0,0,0,0,0,0.486,0,0.449,0.935
"498A1C60-5504-4B37-B55E-2A9C7603295C","Alfonzo, Omar","vR",0,0,0,0,0,0,0,0,0,0
"4CEB4B6E-F394-4027-B84E-6F02FB0B758A","Joe, Connor","vR",0,0.18,0,0,0,0.00500000000000001,0,0,0.00300000000000001,0.188
"4D26FA77-78AC-4D93-AB10-33B66EE4C570","Dixon, Brenden","vR",0,0,0,0,0,0,0,0,0,0
"50EC0FE4-8960-4188-A1A3-36AAE400E1E3","Yorke, Nicholas","vR",0,0,0.44,0,0.179,0.046,0.057,0,0,0.722
"5A8523F2-CE2C-455D-99CD-398A193A2D4B","Bart, Joey","vR",0.091,0,0,0,0,0,0,0,0.001,0.092
"5DF0B280-C557-4E6F-BAE4-2780363A7267","Delgado, Keiner","vR",0,0,0,0,0,0,0,0,0,0
"605B29B6-A799-4365-9DF3-38950881252E","Plaz, Axiel","vR",0.00125,0,0,0,0,0,0,0,0,0.00125
"678A7484-50D4-4305-9442-1B7CA2C48EC1","Palacios, Joshua","vR",0,0,0,0,0,0.156,0.044,0.188,0,0.388
"68D06A46-DD37-4D89-99B2-0CE91D3ACE4A","Shockley, Dylan","vR",0,0,0,0,0,0,0,0,0,0
"7011D16D-110A-44E7-9035-EE4CF2B47F31","Jarvis, Mike","vR",0,0,0,0,0,0,0,0,0,0
"72F658AD-A5AF-4F85-AA87-A7048ECF9699","Terrero, Enmanuel","vR",0,0,0,0,0,0,0,0,0,0
"747A36B7-D9B9-47D0-B779-76AA657DDAE9","Triolo, Jared","vR",0,0.377,0.025,0.08,0.023,0,0,0,0,0.505
"78EEAFE7-DBA4-4F96-9896-D91C716D799B","Nunez, Lennyn","vR",0,0,0,0,0,0,0,0,0,0
"7ACE6FC2-1810-40F1-BE44-DE54B257BC61","Campana, Sergio","vR",0,0,0,0,0,0,0,0,0,0
"84F1F26C-E571-49A0-975D-B462FF94BAC4","Suwinski, Jack","vR",0,0,0,0,0,0.325,0.129,0.272,0,0.726
"86D4DD35-6065-4C58-B179-142B3EB1F261","Kiner-Falefa, Isiah","vR",0,0,0.16,0.198,0.216,0,0.000999999999999997,0,0,0.575
"8972B2A0-6EC6-4E86-9B0F-BDBA22E01FC3","Davis, Henry","vR",0.228,0,0,0,0,0,0,0.002,0.027,0.257
